stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
03B_2_S4,Bến Phố Hội Xá,,21.050066,105.918106,,
03B_2_S5,Bến Ngõ 131 Phố Chu Huy Mân,,21.040516,105.904156,,
03B_2_S6,Bến Phố Đàm Quang Trung,,21.030283,105.898506,,
03B_2_S7,Bến Phố Minh Khai,,20.998117,105.866540,,
03B_2_S8,Bến Phố Minh Khai,,20.997067,105.863557,,
03B_2_S9,Bến Phố Minh Khai (Tiểu đoàn 1/E22 Bộ Tư lệnh Cảnh sát cơ động),,20.995967,105.860174,,
03B_2_S10,Bến Phố Minh Khai,,20.995530,105.855717,,
03B_2_S11,Bến Phố Minh Khai,,20.996034,105.850791,,
03B_2_S12,Bến Phố Đại La,,20.996597,105.846268,,
03B_2_S13,Bến Đường Giải Phóng,,20.993434,105.840924,,
03B_2_S14,Bến Đường Giải Phóng,,20.987850,105.840791,,
03B_2_S15,Bến Đường Giải Phóng,,20.984484,105.840757,,
03B_2_S16,Bến Đường Giải Phóng,,20.980634,105.840691,,
03B_2_S17,Bến Đường Giải Phóng,,20.976517,105.840624,,
03B_2_S18,Bến GIải Phóng,,20.972034,105.840607,,
03B_2_S19,Bến Phố Linh Đường,,20.965128,105.841673,,
03B_2_S20,Bến Đường Ngọc Hồi,,20.960314,105.842027,,
03B_2_S21,Bến Đường Ngọc Hồi (Bến xe Nước Ngầm),,20.964901,105.842391,,
04_1_S1,Bến Đường Yên Phụ,,21.042899,105.848073,,
04_1_S2,Bến Ngõ 187 Đường Hồng Hà (Điểm trung chuyển Long Biên),,21.041682,105.849091,,
04_1_S3,Bến Phố Hàng Mắm (Khách Sạn Hanoi Stars),,21.033716,105.854257,,
04_1_S4,Bến Phố Lý Thái Tổ (Cung Thiếu nhi Hà Nội),,21.028366,105.855490,,
04_1_S5,Bến Phố Lê Thánh Tông,,21.021633,105.857774,,
04_1_S6,Bến Phố Tăng Bạt Hổ,,21.016683,105.858340,,
04_1_S7,Bến Phố Tăng Bạt Hổ (Trường Đại học Y Hà Nội),,21.014150,105.859057,,
04_1_S8,Bến Phố Lò Đúc,,21.011837,105.859044,,
04_1_S9,Bến Ngõ 84 Phố Kim Ngưu,,21.006967,105.860724,,
04_1_S10,Bến Ngõ E8 Phố Kim Ngưu (WinMart+),,21.002369,105.861169,,
04_1_S11,Bến Phố Kim Ngưu,,20.997784,105.861640,,
04_1_S12,Bến Đường Tam Trinh,,20.992434,105.862240,,
04_1_S13,Bến Đường Lĩnh Nam,,20.990734,105.864257,,
04_1_S14,Bến Phố Tân Khai,,20.986567,105.869207,,
04_1_S15,Bến Ngõ 219 Đường Lĩnh Nam,,20.984884,105.872590,,
04_1_S16,Bến Ngõ 267 Đường Lĩnh Nam,,20.984351,105.873923,,
04_1_S17,Bến Đường Lĩnh Nam,,20.983117,105.877207,,
04_1_S18,Bến Ngõ 467 Đường Lĩnh Nam,,20.981467,105.881373,,
04_1_S19,Bến Phường Vĩnh Hưng,,20.980367,105.885540,,
04_1_S20,Bến Ngõ 415 Phố Nam Dư,,20.976951,105.885940,,
04_1_S21,Bến Phường Hoàng Mai,,20.972468,105.880423,,
04_1_S22,Bến 45 Ngõ 295 Yên Duyên,,20.966034,105.874757,,
04_1_S23,Bến 8 Phố Sở Thượng,,20.964684,105.866540,,
04_1_S24,Bến Đường Đỗ Mười,,20.965501,105.855357,,
04_1_S25,Bến Ngõ 1 Bùi Huy Bích,,20.966268,105.844474,,
04_1_S26,Bến Phố Linh Đường,,20.965128,105.841673,,
04_1_S27,Bến Đường Ngọc Hồi,,20.960314,105.842027,,
04_1_S28,Bến Đường Ngọc Hồi (Bến xe Nước Ngầm),,20.965068,105.842058,,
04_2_S1,Bến Đường Ngọc Hồi (Bến xe Nước Ngầm),,20.965068,105.842058,,
04_2_S2,Bến Đường Đỗ Mười,,20.965703,105.850335,,
04_2_S3,Bến Đường cao tốc Vành đai 3,,20.964492,105.858054,,
04_2_S4,Bến Đường cao tốc Vành đai 3,,20.963901,105.863674,,
04_2_S5,Bến Đường cao tốc Vành đai 3,,20.965851,105.875540,,
04_2_S6,Bến Đường cao tốc Vành đai 3,,20.972934,105.881590,,
04_2_S7,Bến Phường Vĩnh Hưng,,20.980267,105.886656,,
04_2_S8,Bến Ngõ 467 Đường Lĩnh Nam,,20.981384,105.881690,,
04_2_S9,Bến Đường Lĩnh Nam,,20.983051,105.877490,,
04_2_S10,Bến Ngõ 279 Đường Lĩnh Nam,,20.984217,105.874390,,
04_2_S11,Bến Ngõ 219 Đường Lĩnh Nam,,20.984984,105.872523,,
04_2_S12,Bến Đường Lĩnh Nam,,20.987334,105.868057,,
04_2_S13,Bến 87 Đường Lĩnh Nam,,20.989084,105.865890,,
04_2_S14,Bến Đường Tam Trinh mở rộng 6 làn xe,,20.994350,105.862640,,
04_2_S15,Bến Phố Kim Ngưu,,20.997700,105.861724,,
04_2_S16,Bến Ngõ E8 Phố Kim Ngưu (WinMart+),,21.002250,105.861307,,
04_2_S17,Bến 96 Phố Kim Ngưu,,21.005667,105.860924,,
04_2_S18,Bến 1 Phố Yec Xanh,,21.012617,105.858541,,
04_2_S19,Bến 93 Phố Lò Đúc,,21.015783,105.856540,,
04_2_S20,Bến 32B Phố Phan Chu Trinh,,21.019033,105.855107,,
04_2_S21,Bến Ngõ Tràng Tiền (Benaras Mantra),,21.023900,105.856657,,
04_2_S22,Bến Phố Lê Thạch,,21.026983,105.856057,,
04_2_S23,Bến 23 Phố Hàng Tre,,21.032231,105.855512,,
04_2_S24,Bến Phố Lương Ngọc Quyến,,21.034833,105.854540,,
04_2_S25,Bến Phố Nguyễn Thiếp (Điểm trung chuyển Long Biên),,21.041732,105.849307,,
04_2_S26,Bến Đường Yên Phụ,,21.042899,105.848073,,
05_1_S1,Bến 7B Phố Nguyễn Duy Trinh,,20.963618,105.830341,,
05_1_S2,Bến 7B Phố Nguyễn Duy Trinh,,20.963833,105.830239,,
05_1_S3,Bến Phường Hoàng Liệt,,20.965184,105.831108,,
05_1_S4,Bến Phố Nguyễn Phan Chánh,,20.965251,105.826491,,
05_1_S5,Bến Phường Hoàng Liệt,,20.967468,105.826341,,
05_1_S6,Bến Đường Nghiêm Xuân Yêm,,20.970788,105.825858,,
05_1_S7,Bến 442 Đường Kim Giang,,20.973068,105.824624,,
05_1_S8,Bến 282 Đường Kim Giang,,20.978851,105.822158,,
05_1_S9,Bến 204 Đường Kim Giang,,20.979751,105.819941,,
05_1_S10,Bến Đường Kim Giang,,20.985767,105.813758,,
05_1_S11,Bến 274 Đường Khương Đình,,20.991600,105.813275,,
05_1_S12,Bến Ngõ 122 Đường Khương Đình,,20.994934,105.814258,,
05_1_S13,Bến Đường Nguyễn Trãi,,20.996184,105.809091,,
05_1_S14,Bến 90 Đường Nguyễn Tuân,,20.995817,105.805358,,
05_1_S15,Bến 204 Đường Nguyễn Tuân,,21.000533,105.801675,,
05_1_S16,Bến Phố Hoàng Minh Giám,,21.003117,105.799625,,
05_1_S17,Bến Phường Yên Hòa,,21.006950,105.796608,,
05_1_S18,Bến Phố Nguyễn Chánh,,21.010953,105.793188,,
05_1_S19,Bến Ngách 1 Ngõ 125 Trung Kính,,21.014033,105.794925,,
05_1_S20,Bến 102 Phố Trung Kính,,21.016567,105.794309,,
05_1_S21,Bến 226 Phố Trung Kính,,21.022272,105.790744,,
05_1_S22,Bến Phố Phạm Văn Bạch,,21.025551,105.788824,,
05_1_S23,Bến 6 Phố Tôn Thất Thuyết,,21.028333,105.784692,,
05_1_S24,Bến 15 Đường Phạm Hùng,,21.028966,105.780675,,
05_1_S25,Bến Phố Nguyễn Hoàng,,21.029286,105.777965,,
05_1_S26,Bến 44 Phố Nguyễn Hoàng,,21.031279,105.774533,,
05_1_S27,Bến 21 Đường Lê Đức Thọ,,21.033616,105.770576,,
05_1_S28,Bến Ngõ 4 Hàm Nghi,,21.034666,105.766676,,
05_1_S29,Bến 136 Đường Hồ Tùng Mậu,,21.040382,105.766326,,
05_1_S30,Bến Ngõ 139 Đường Phú Diễn,,21.046982,105.762926,,
05_1_S31,"Bến Ngõ 193 Đường Phú Diễn, Phường Phú Diễn",,21.051266,105.763442,,
05_1_S32,"Bến Đường Phú Diễn, Phường Phú Diễn",,21.054165,105.763709,,
05_1_S33,"Bến Đường Trại Gà, Phường Đông Ngạc",,21.059515,105.764576,,
05_2_S1,"Bến Đường Trại Gà, Phường Đông Ngạc",,21.059515,105.764576,,
05_2_S2,"Bến Đường Phú Diễn, Phường Phú Diễn",,21.054315,105.763726,,
05_2_S3,"Bến Đường Phú Diễn, Phường Phú Diễn",,21.051716,105.763492,,
05_2_S4,Bến Phường Phú Diễn,,21.047516,105.762609,,
05_2_S5,Bến 136 Đường Hồ Tùng Mậu,,21.040252,105.765875,,
05_2_S6,Bến Ngõ 4 Hàm Nghi,,21.034349,105.766809,,
05_2_S7,Bến 21 Đường Lê Đức Thọ,,21.033371,105.770671,,
05_2_S8,Bến 44 Phố Nguyễn Hoàng,,21.031099,105.774376,,
05_2_S9,Bến Phố Nguyễn Hoàng,,21.029066,105.778292,,
05_2_S10,"Bến 8 Phố Tôn Thất Thuyết, Phường Cầu Giấy",,21.028549,105.781592,,
